study_accession	protein_accession	repository	source_url	retrieved_at	sequence_version	path	size_bytes	sha256	scientific_use
PXD006140	Q93VK9	UniProt	https://rest.uniprot.org/uniprotkb/Q93VK9.fasta	2026-07-20T16:58:22.4314413Z	1	cache/uniprot/Q93VK9.fasta	436	8037d52c4a1d7c6c61d24e0c12e14c781563533e6fcf52bda698549f2a0f9daa	coordinate_validation_only
PXD006140	Q9ZW96	UniProt	https://rest.uniprot.org/uniprotkb/Q9ZW96.fasta	2026-07-20T16:58:22.4314413Z	1	cache/uniprot/Q9ZW96.fasta	349	f4a9ba53775e0433e3efe92599d023a5f54f8cf8995806cba42db27a3bb78b19	coordinate_validation_only
